dataset,seed,stream,mode,identity,valid_online_CIL,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,19,20,66,2,3.0303030303030303,-0.06639043878761718,66
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,20,10,150,97,64.66666666666667,0.005917595918462824,150
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.2831339671836636,21
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,98,86.72566371681415,0.11853487119681097,113
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,0,22,21,0,0.0,-0.689462622033202,21
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,1,16,8,0,0.0,-0.18752932788108018,8
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,0,0.0,-0.28893145737519776,41
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,3,13,160,0,0.0,-0.4411801212431984,160
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,4,21,4,0,0.0,-0.7827211336608544,4
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,5,4,165,0,0.0,-0.3490317458775394,165
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,6,19,2,0,0.0,-0.5656896065621719,2
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,7,17,5,0,0.0,-0.5077696559390829,5
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,8,6,1,0,0.0,-0.5982213513580642,1
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,9,11,61,0,0.0,-0.24366532557767528,61
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,10,3,157,0,0.0,-0.38585941329498613,157
